,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
39,Salesforce Developer,0,8,515800.0,190000.0,1200000.0
40,Senior Analyst,1,12,503800.0,200000.0,1130000.0
41,IT Analyst 1,3,9,765600.0,350000.0,1500000.0
42,Scrum Master,2,17,1059900.0,380000.0,2800000.0
43,System Analyst,1,10,786200.0,240000.0,2000000.0
44,Front end Developer,0,7,474300.0,190000.0,1100000.0
45,Data Scientist,0,9,792700.0,250000.0,2500000.0
46,Oracle Database Administrator,1,11,690600.0,200000.0,1810000.0
47,Technical Architect,6,20,2019700.0,850000.0,4600000.0
48,Assistant System Engineer Developer,0,3,380700.0,300000.0,470000.0
49,Delivery Manager,9,23,1946600.0,630000.0,5000000.0
50,Network Administrator,0,11,611400.0,250000.0,1510000.0
51,QA Engineer,0,7,491700.0,260000.0,1030000.0
52,Financial Analyst,0,9,308100.0,110000.0,800000.0
53,Senior Engineer,3,12,1080800.0,400000.0,2350000.0
54,Cyber Security Analyst,0,8,546000.0,230000.0,1400000.0
55,ETL Developer,0,7,517500.0,240000.0,1010000.0
56,Functional Consultant,0,14,952700.0,230000.0,3500000.0
57,Solution Architect,6,22,2209500.0,570000.0,4200000.0
58,Servicenow Developer,0,6,524900.0,200000.0,1210000.0
59,Software Tester,0,8,468900.0,200000.0,950000.0
60,Associate Technical Consultant,7,17,1624200.0,730000.0,3250000.0
61,System Engineer Analyst,0,9,522700.0,250000.0,1010000.0
62,Mainframe Developer,0,7,562300.0,230000.0,1350000.0
63,SAP Basis Consultant,0,8,667800.0,250000.0,1850000.0
64,Plsql Developer,0,8,555700.0,200000.0,1200000.0
65,Test Lead,4,15,1105900.0,450000.0,2700000.0
66,Assistant Software Engineer,0,4,386200.0,280000.0,600000.0
67,Cloud Engineer,0,9,582800.0,220000.0,1300000.0
68,SAP SD Consultant,0,8,680700.0,240000.0,1730000.0
69,Assistant Systems Engineer Ase,0,2,376200.0,310000.0,450000.0
70,RPA Developer,0,7,513000.0,200000.0,1200000.0
71,System Engineer 3,0,6,533400.0,270000.0,1000000.0
72,Network Engineer,0,10,590000.0,200000.0,1500000.0
73,Work Flow Specialist,0,9,299700.0,160000.0,530000.0
74,Programmer,0,2,274400.0,180000.0,400000.0
75,Database Admin,0,11,539000.0,190000.0,1290000.0
76,Automation Engineer,0,11,562000.0,200000.0,1500000.0
77,Senior Business Analyst,3,14,916000.0,240000.0,2800000.0
78,Python Developer,0,7,524600.0,220000.0,1050000.0
79,SME,1,10,428800.0,200000.0,930000.0
80,SAP MM Consultant,0,7,647000.0,300000.0,1720000.0
81,Design Engineer,1,11,606100.0,250000.0,1380000.0
82,QA Analyst,1,10,526400.0,250000.0,1090000.0
83,System Engineer Application Developer,0,5,515200.0,300000.0,920000.0
84,Senior Consultant,4,25,2675200.0,500000.0,9600000.0
85,Security Analyst,1,7,573900.0,270000.0,1300000.0
86,Program Manager,10,22,2279700.0,880000.0,5000000.0
87,Service Delivery Manager,8,21,1789700.0,680000.0,4100000.0
88,ITA,4,10,838100.0,500000.0,1600000.0
89,Tableau Developer,1,7,629400.0,240000.0,1500000.0
90,Ninja,0,1,347200.0,340000.0,380000.0
91,Linux Administrator,1,7,563500.0,220000.0,1300000.0
92,SAP Abap Consultant,0,8,672700.0,290000.0,2050000.0
93,Business Associate,0,7,443100.0,100000.0,1400000.0
94,Performance Test Engineer,1,6,594700.0,240000.0,1550000.0
95,AWS Devops Engineer,1,6,617000.0,240000.0,1420000.0
96,Full Stack Developer,0,6,523400.0,200000.0,1190000.0
97,Graduate Trainee,0,1,217400.0,140000.0,360000.0
98,Azure Data Engineer,0,7,568200.0,300000.0,1460000.0
99,Senior Software Developer,2,11,1041300.0,410000.0,2300000.0
100,Application Support Engineer,0,8,467000.0,220000.0,910000.0
101,SQL Database Administrator,1,8,659300.0,300000.0,1600000.0
102,Informatica Developer,1,5,619800.0,80000.0,1110000.0
103,KYC Analyst,1,8,323600.0,180000.0,660000.0
104,Process Leader,3,14,688900.0,390000.0,1010000.0
105,Senior Process Specialist,2,10,391500.0,160000.0,620000.0
106,Business Process Associate,0,7,301500.0,120000.0,650000.0
107,Pega Developer,1,5,511800.0,300000.0,900000.0
108,Automation Tester,0,6,470000.0,220000.0,920000.0
109,Assistant System Analyst,0,6,697300.0,410000.0,1100000.0
110,UI Developer,0,7,583800.0,220000.0,1400000.0
111,Team Lead Operations,5,15,646300.0,320000.0,1020000.0
112,Process Associate Level 1,0,6,274800.0,160000.0,410000.0
113,Manual Test Engineer,0,7,491000.0,210000.0,1000000.0
114,Process Analyst,1,8,285800.0,180000.0,450000.0
115,Linux System Administrator,0,7,580900.0,200000.0,1500000.0
116,ETL Tester,1,6,553000.0,240000.0,1230000.0
117,Senior Systems Engineer,2,7,639800.0,350000.0,1230000.0
118,ASE,0,4,384800.0,270000.0,550000.0
119,System Software Engineer,0,8,489800.0,250000.0,1000000.0
120,Manual Tester,0,8,444200.0,190000.0,1050000.0
121,Azure DevOps Engineer,1,6,588900.0,280000.0,1530000.0
122,Performance Tester,1,5,574800.0,190000.0,1000000.0
123,Informatica ETL Developer,1,7,530600.0,250000.0,1100000.0
124,Project Lead,5,17,1398300.0,500000.0,3300000.0
125,Technical Support Engineer,0,8,420000.0,170000.0,850000.0
126,SQL Developer,0,6,450700.0,230000.0,1000000.0
127,PMO Lead,5,15,656000.0,270000.0,1430000.0
128,Senior Associate Operations,2,9,376900.0,230000.0,620000.0
129,IT Analyst ITA,4,10,810100.0,450000.0,1500000.0
130,Java J2ee Developer,1,8,497000.0,250000.0,1020000.0
131,ASE Trainee,0,1,345600.0,300000.0,400000.0
132,Senior Test Engineer,2,10,830300.0,300000.0,2200000.0
133,Functional Analyst,0,9,663600.0,200000.0,1700000.0
134,Big Data Engineer,1,6,542500.0,260000.0,1240000.0
135,SAP Consultant,0,10,742600.0,230000.0,2600000.0
136,Msbi Developer,2,6,521500.0,300000.0,1320000.0
137,Associate System Engineer Trainee,0,1,346900.0,300000.0,400000.0
138,Citizen Service Executive,0,8,236800.0,110000.0,450000.0
139,SE,1,6,475900.0,250000.0,800000.0
140,SOC Analyst,1,6,497600.0,260000.0,1030000.0
141,Application Developer,0,7,508500.0,270000.0,1050000.0
142,Sccm Administrator,2,6,563100.0,300000.0,1050000.0
143,Big Data Developer,1,8,581000.0,230000.0,1500000.0
144,Senior Process Associate 2,0,10,423100.0,200000.0,620000.0
145,BPO Analyst,1,6,266100.0,170000.0,420000.0
146,Associate Engineer,0,4,416900.0,190000.0,900000.0
147,BI Developer,1,5,543000.0,300000.0,930000.0
148,Senior Processing Executive,2,10,431200.0,240000.0,630000.0
149,Senior Accounts Executive,3,9,410200.0,250000.0,680000.0
150,QA Tester,0,6,459600.0,220000.0,850000.0
151,Senior IT Analyst,5,11,980900.0,420000.0,2200000.0
152,Support Engineer,0,6,408500.0,190000.0,800000.0
153,Mechanical Engg. Design,1,10,563900.0,340000.0,1090000.0
154,Operations Manager,8,18,1235600.0,350000.0,2050000.0
155,Associate Consultant Engineer,7,17,1587500.0,540000.0,2700000.0
156,Technical Support Executive,0,7,411000.0,170000.0,1100000.0
157,Mulesoft Developer,1,6,554500.0,250000.0,1250000.0
158,Clinical Data Manager,0,6,436300.0,160000.0,1310000.0
159,Customer Service Associate,0,8,289100.0,150000.0,500000.0
160,Test Manager,7,17,1321600.0,600000.0,2240000.0
161,Assistant Manager- HR,3,12,954600.0,630000.0,1300000.0
162,Senior Software Tester,3,9,573500.0,290000.0,1080000.0
163,Senior Devops Engineer,3,11,965200.0,410000.0,2000000.0
164,Support Analyst,0,7,432900.0,250000.0,920000.0
165,UI/UX Designer,1,9,608600.0,300000.0,1300000.0
166,Senior Test Analyst,3,11,720300.0,310000.0,1500000.0
167,Assistant Engineer,0,3,383500.0,200000.0,830000.0
168,Middleware Administrator,1,6,654800.0,280000.0,1800000.0
169,GIS Analyst,1,8,300700.0,180000.0,710000.0
170,SAP BW BI Consultant,0,7,570300.0,300000.0,1160000.0
171,Customer Care Executive,0,6,255600.0,100000.0,510000.0
172,Product Manager,3,17,1527800.0,580000.0,3380000.0
173,Oracle Financial Functional Consultant,2,10,753400.0,300000.0,1750000.0
174,Senior Process Analyst,3,10,434200.0,250000.0,710000.0
175,SAP Security Consultant,1,7,639100.0,220000.0,1600000.0
176,Manual Automation Test Engineer,1,5,464700.0,260000.0,800000.0
177,Information Security Analyst,1,9,605500.0,250000.0,1600000.0
178,Assistant System Consultant,8,14,1103900.0,530000.0,1700000.0
179,Senior Processing Associate,3,10,371100.0,220000.0,650000.0
180,BPO Information Processing Specialist,0,7,273800.0,160000.0,480000.0
181,Senior Developer,3,11,1077400.0,450000.0,2300000.0
182,Windows Server Administrator,2,9,549100.0,340000.0,1000000.0
183,Clinical SAS Programmer,1,7,497900.0,200000.0,1040000.0
184,Software Developer 1,0,4,480400.0,260000.0,900000.0
185,IT Business Analyst,3,9,718900.0,420000.0,1320000.0
186,Azure Administrator,1,8,561500.0,240000.0,1030000.0
187,Information Technical Analyst,4,8,847700.0,470000.0,1650000.0
188,Automation Test Lead,4,14,1060400.0,440000.0,1850000.0
189,Angular Developer,0,6,455600.0,200000.0,900000.0
190,Associate Consultant Team Lead,8,16,1757500.0,980000.0,2700000.0
191,Customer Service Executive,0,8,282000.0,110000.0,600000.0
192,Operations Executive,0,9,305800.0,150000.0,540000.0
193,Hadoop Developer,2,8,692200.0,250000.0,1600000.0
194,Citrix Administrator,2,7,588500.0,400000.0,1050000.0
195,AWS Cloud Engineer,1,6,558000.0,300000.0,1300000.0
196,Pharmacovigilance Scientist,1,6,348700.0,160000.0,730000.0
197,Storage Administrator,1,9,623500.0,300000.0,1110000.0
198,Process Associate Band 1,1,5,268900.0,180000.0,360000.0
199,Windows Vmware Administrator,2,10,647400.0,370000.0,1300000.0
