,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
43,Service Delivery Manager,10,20,1977500.0,1200000.0,3360000.0
44,System Engineer,0,5,387500.0,100000.0,1250000.0
45,Quality Analyst,0,9,537300.0,210000.0,1250000.0
46,Data Engineer,0,8,774200.0,210000.0,2700000.0
47,Associate Consultant,1,7,931700.0,49000.0,2060000.0
48,Java Developer,0,5,719100.0,240000.0,1650000.0
49,Senior Business Analyst,0,15,1541800.0,900000.0,2610000.0
50,Senior System Executive,0,4,460800.0,320000.0,650000.0
51,Senior Infra Developer,2,8,1085300.0,540000.0,1780000.0
52,Associate Director,15,25,3617900.0,2400000.0,5100000.0
53,Programmer Analyst 1,0,5,473800.0,320000.0,690000.0
54,Software Engineer Trainee,0,1,381900.0,250000.0,550000.0
55,Power BI Developer,1,6,635500.0,200000.0,1200000.0
56,Analyst,0,11,540100.0,200000.0,1270000.0
57,GenC,0,2,400000.0,400000.0,400000.0
58,Servicenow Developer,1,7,623100.0,320000.0,1290000.0
59,Associate Java Developer,2,9,849300.0,470000.0,1430000.0
60,Senior Analyst,1,11,874400.0,250000.0,2560000.0
61,Technology Architect,10,18,2361200.0,1450000.0,3500000.0
62,Technology Specialist,5,15,1530900.0,860000.0,2620000.0
63,Engineer Trainee,0,2,407000.0,380000.0,450000.0
64,Senior Associate 1,5,13,1487100.0,700000.0,2440000.0
65,Associate Engineer,1,7,863100.0,400000.0,1610000.0
66,Process Executive 1,0,2,239300.0,120000.0,450000.0
67,Technical Architect,9,18,2547100.0,1500000.0,4000000.0
68,Product Specialist,2,8,900000.0,460000.0,1790000.0
69,Senior Software Developer,3,10,1280600.0,340000.0,2300000.0
70,Team Lead Operations,5,15,827000.0,530000.0,1250000.0
71,Technical Lead Itis,3,11,733900.0,400000.0,1110000.0
72,Test Lead,6,15,1342800.0,500000.0,2200000.0
73,Senior Associate Developer,5,12,1672300.0,800000.0,3000000.0
74,Senior Process Specialist,1,8,432300.0,200000.0,730000.0
75,Architect,10,18,2398300.0,1400000.0,3400000.0
76,System Analyst,0,4,362100.0,150000.0,900000.0
77,QA Engineer,0,7,554300.0,250000.0,1100000.0
78,Automation Test Lead,4,15,1127100.0,400000.0,1850000.0
79,Senior Project Manager,12,22,2782300.0,1670000.0,4000000.0
80,Principal Consultant,10,16,1808500.0,1380000.0,2740000.0
81,Business Development Manager,6,15,1932600.0,1400000.0,2900000.0
82,ETL Developer,1,5,667500.0,280000.0,1450000.0
83,Infrastructure Specialist,6,15,1678100.0,910000.0,2500000.0
84,System Engineer Hardware,0,5,319100.0,160000.0,610000.0
85,Full Stack Developer,0,7,776900.0,280000.0,1750000.0
86,Associate Technical Consultant,3,10,1023900.0,510000.0,2100000.0
87,Oracle Database Administrator,0,8,779300.0,260000.0,2000000.0
88,Business Associate,0,7,534100.0,100000.0,1820000.0
89,Business Consultant,2,9,1501700.0,810000.0,2500000.0
90,Junior Product Specialist,1,3,489200.0,330000.0,700000.0
91,Salesforce Administrator,1,6,547700.0,280000.0,1240000.0
92,Program Analyst Trainee,0,1,417200.0,350000.0,500000.0
93,ETL Tester,1,7,710700.0,300000.0,1500000.0
94,Software Tester,1,6,528500.0,200000.0,1050000.0
95,Senior Business Development Analyst,0,6,1426600.0,1050000.0,2000000.0
96,SAP Fico Consultant,2,7,727200.0,300000.0,1600000.0
97,Technical Manager,10,16,2269100.0,1390000.0,3240000.0
98,Process Executive Data,0,3,238300.0,140000.0,350000.0
99,UI Developer,1,8,797000.0,200000.0,1800000.0
100,System Executive,0,2,285700.0,200000.0,400000.0
101,Senior Human Resource Coordinator,1,7,331500.0,220000.0,510000.0
102,Mainframe Developer,0,4,663200.0,230000.0,1530000.0
103,Team Manager Operations,8,15,1086500.0,730000.0,1600000.0
104,Senior Quality Analyst,2,10,695500.0,220000.0,1700000.0
105,Senior Associate Consultant,4,13,1673600.0,720000.0,2600000.0
106,Informatica Developer,1,5,768100.0,380000.0,1400000.0
107,CRM Consultant,3,11,834100.0,470000.0,1380000.0
108,Deputy General Manager,14,21,2702400.0,1700000.0,4400000.0
109,Desktop Support Engineer,0,3,197700.0,110000.0,350000.0
110,Test Manager,11,17,1681400.0,1110000.0,2600000.0
111,Senior System Analyst,2,7,552600.0,330000.0,880000.0
112,Senior Java Developer,4,11,1010000.0,560000.0,2000000.0
113,Performance Analyst,2,8,701600.0,360000.0,1050000.0
114,Finance Executive,0,13,693000.0,260000.0,1150000.0
115,Program Manager,11,22,2522300.0,1350000.0,4000000.0
116,Project Lead,8,16,1537000.0,900000.0,2550000.0
117,Performance Test Engineer,1,6,721100.0,340000.0,1500000.0
118,Linux System Administrator,2,5,503000.0,260000.0,900000.0
119,Junior HR Executive,1,9,500100.0,340000.0,670000.0
120,HR Executive,1,15,693400.0,340000.0,1050000.0
121,Infrastructure Architect,9,16,2462000.0,1600000.0,3300000.0
122,Python Developer,1,5,600400.0,270000.0,1450000.0
123,Junior Executive,2,10,520800.0,380000.0,730000.0
124,Data Processing Executive,0,2,233200.0,150000.0,350000.0
125,Infrastructure Technology Specialist,5,12,1712800.0,1000000.0,2450000.0
126,Hadoop Developer,2,7,645800.0,200000.0,1050000.0
127,Product Consultant,9,17,1908800.0,1300000.0,2700000.0
128,Product Test Specialist,3,9,747700.0,500000.0,1160000.0
129,Java Programmer,0,5,460500.0,250000.0,810000.0
130,Front end Developer,1,5,671300.0,300000.0,1300000.0
131,Senior Research Associate,0,9,1049500.0,770000.0,1450000.0
132,Technical Support Engineer,0,5,445500.0,190000.0,950000.0
133,Consulting Manager,9,19,2628200.0,1820000.0,3950000.0
134,Automation Test Analyst,1,7,531600.0,280000.0,910000.0
135,Quality Engineer,0,6,506700.0,230000.0,1000000.0
136,Senior Delivery Manager,13,22,2352100.0,1500000.0,3600000.0
137,RPA Developer,1,6,629200.0,280000.0,1320000.0
138,Financial Analyst,1,8,435700.0,150000.0,1110000.0
139,Product Test Analyst,1,6,522000.0,290000.0,880000.0
140,Performance Tester,0,5,559800.0,200000.0,1000000.0
141,Data Scientist,1,8,986000.0,350000.0,2620000.0
142,Cloud Engineer,0,6,655100.0,300000.0,1600000.0
143,Information Security Analyst,1,5,543400.0,270000.0,1020000.0
144,Functional Lead,6,14,1661800.0,1100000.0,2300000.0
145,Security Specialist,3,8,844400.0,550000.0,1240000.0
146,Product Specialist Technical,2,9,924100.0,450000.0,1500000.0
147,Research Analyst,0,8,381500.0,180000.0,740000.0
148,Pega Developer,1,5,691400.0,300000.0,1600000.0
149,Senior Devops Engineer,3,11,1387500.0,320000.0,2600000.0
150,Drug Safety Associate,0,5,426600.0,200000.0,700000.0
151,Scrum Master,6,16,1651600.0,600000.0,3600000.0
152,Web Developer,0,5,516700.0,280000.0,1000000.0
153,IT Project Manager,10,17,1752900.0,1050000.0,3000000.0
154,Junior Software Developer,1,3,487000.0,300000.0,700000.0
155,DOT NET Developer,0,6,623400.0,380000.0,1260000.0
156,Associate Test Analyst,2,8,625700.0,450000.0,850000.0
157,Software Programmer,1,6,477800.0,240000.0,1140000.0
158,Senior Technical Lead,8,15,1538000.0,900000.0,3000000.0
159,Infra Team Lead,7,15,1289100.0,900000.0,1670000.0
160,Performance Engineer,1,5,595700.0,300000.0,1150000.0
161,HR Manager,9,17,1716400.0,1000000.0,2400000.0
162,Production Analyst,1,5,497900.0,310000.0,960000.0
163,Software Test Analyst,1,9,567300.0,250000.0,1100000.0
164,Sme Process Specialist,3,9,576600.0,360000.0,800000.0
165,Senior Architect,13,21,2956900.0,1900000.0,4750000.0
166,Senior Data Analyst,2,7,439500.0,200000.0,1000000.0
167,QA Automation Engineer,1,6,556300.0,290000.0,1080000.0
168,Manual Tester,0,6,429500.0,170000.0,820000.0
169,Operations Manager,9,17,1458300.0,800000.0,2550000.0
170,Pharmacovigilance Associate,0,6,394000.0,190000.0,740000.0
171,QA Test Lead,5,13,1034800.0,550000.0,1720000.0
172,Senior Engineer,2,10,881500.0,380000.0,1770000.0
173,Tableau Developer,3,6,777100.0,300000.0,1300000.0
174,Sccm Administrator,2,7,652300.0,320000.0,1200000.0
175,Trainee Analyst,0,2,272400.0,200000.0,400000.0
176,Security Analyst,1,5,584400.0,300000.0,1070000.0
177,Clinical Data Manager,1,7,467400.0,230000.0,930000.0
178,PA,0,4,443800.0,300000.0,700000.0
179,Senior Product Specialist,6,15,1457900.0,1050000.0,2000000.0
180,Team Leader (Technical),6,14,1247700.0,610000.0,2360000.0
181,Informatica ETL Developer,1,8,670100.0,280000.0,1200000.0
182,Associate Data Scientist,1,7,814300.0,420000.0,1320000.0
183,Manual Automation Test Engineer,1,8,552000.0,250000.0,1200000.0
184,Technical Associate,2,8,777200.0,400000.0,1100000.0
185,Network Security Engineer,2,8,768000.0,360000.0,1550000.0
186,Functional Consultant,2,10,760300.0,310000.0,2000000.0
187,Azure DevOps Engineer,2,6,654900.0,300000.0,1350000.0
188,Voice Process Executive,0,2,235900.0,130000.0,400000.0
189,QA Manager,11,17,1687900.0,1050000.0,2300000.0
190,Associate Test Engineer,2,8,685000.0,380000.0,1120000.0
191,Senior Administrator,3,10,965100.0,540000.0,1900000.0
