,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
31,Senior Process Associate,1,9,407400.0,180000.0,850000.0
32,Customer Service Associate,0,7,409000.0,90000.0,730000.0
33,Application Developer,0,8,819000.0,300000.0,2000000.0
34,Data Analyst,0,8,630000.0,200000.0,1800000.0
35,Data Engineer,0,7,811900.0,350000.0,2100000.0
36,Business Process Associate,0,6,346500.0,170000.0,700000.0
37,General Accounting Operation Analyst,3,10,588900.0,340000.0,980000.0
38,SAP Fico Consultant,1,9,800500.0,300000.0,2530000.0
39,Technical Lead,5,13,1918500.0,940000.0,3000000.0
40,General Accounting OPS Associate,0,8,409800.0,210000.0,770000.0
41,Test Engineering Senior Analyst,3,8,1030200.0,620000.0,1500000.0
42,Test Engineer,1,6,565900.0,250000.0,1200000.0
43,Salesforce Developer,0,6,770200.0,280000.0,1990000.0
44,Software Engineer Team Leader,5,12,1718300.0,930000.0,2870000.0
45,Senior Business Analyst,1,11,1276400.0,400000.0,2210000.0
46,Software Development Analyst,1,6,780300.0,380000.0,1450000.0
47,Project Manager,4,20,2025900.0,350000.0,4020000.0
48,Senior Software Developer,2,9,1199300.0,450000.0,2010000.0
49,Senior Data Engineering Analyst,2,7,1229100.0,740000.0,1800000.0
50,Business Operations Associate,0,7,366400.0,180000.0,800000.0
51,Team Lead Operations,5,15,949400.0,560000.0,1570000.0
52,Test Lead,5,12,1585700.0,930000.0,2350000.0
53,Automation Test Engineer,1,6,716400.0,300000.0,1600000.0
54,Security Analyst,1,6,627200.0,350000.0,1100000.0
55,Application Development Manager,10,20,3162100.0,2000000.0,4390000.0
56,Application Development Lead,5,11,1796700.0,1010000.0,2600000.0
57,Security Delivery Analyst,1,6,840100.0,450000.0,1310000.0
58,Software Engineering Senior Analyst,3,9,1105800.0,680000.0,1850000.0
59,Test Engineer Senior Analyst,3,8,1035900.0,640000.0,1450000.0
60,Senior Financial Analyst,2,13,971700.0,300000.0,1780000.0
61,Business Process Delivery Associate,0,6,420200.0,190000.0,700000.0
62,Management Consulting Analyst,0,7,2403700.0,1200000.0,3600000.0
63,Power BI Developer,1,6,635700.0,260000.0,1350000.0
64,Content Reviewer,0,4,285700.0,180000.0,480000.0
65,SAP Basis Consultant,1,7,757900.0,300000.0,1600000.0
66,Associate Software Test Engineer,0,4,345400.0,180000.0,510000.0
67,Assistant Software Engineer,0,3,395400.0,250000.0,620000.0
68,Servicenow Developer,1,6,678600.0,350000.0,1300000.0
69,Human Resource Service Delivery Associate,0,6,427000.0,230000.0,620000.0
70,Data Engineering Specialist,5,11,1867700.0,1100000.0,2700000.0
71,Project Management Officer,0,10,478000.0,180000.0,1300000.0
72,Senior Security Delivery Analyst,3,8,1266500.0,700000.0,1850000.0
73,Software Development Senior Analyst,3,8,1203400.0,680000.0,1700000.0
74,Senior System Analyst,4,11,1043600.0,590000.0,1800000.0
75,Senior Software Analyst,3,9,1118300.0,480000.0,1700000.0
76,Medical Services Analyst,1,5,549500.0,370000.0,900000.0
77,Trust and Safety Specialist,0,6,362700.0,200000.0,690000.0
78,Senior Test Engineer,3,8,1030900.0,460000.0,1600000.0
79,Transaction Processing Representative,0,5,234800.0,100000.0,500000.0
80,Test Engineering Team Lead,5,11,1466800.0,910000.0,2070000.0
81,Senior Application Developer,3,9,1267500.0,650000.0,1900000.0
82,Senior Software Engineer Testing,3,8,921600.0,580000.0,1680000.0
83,Business Process Delivery Analyst,1,10,719900.0,400000.0,1020000.0
84,Senior Test Analyst,3,9,1083100.0,600000.0,1570000.0
85,new Associate,0,3,254900.0,150000.0,400000.0
86,Accounts Associate,0,6,284400.0,120000.0,480000.0
87,Order to Cash Analyst,0,8,448800.0,180000.0,770000.0
88,Procure to Pay Analyst,0,8,456600.0,200000.0,720000.0
89,Test Analyst,1,5,657100.0,240000.0,1060000.0
90,Data Scientist,1,7,1393300.0,400000.0,2600000.0
91,Data Science Analyst,0,6,1400800.0,550000.0,2300000.0
92,Senior Automation Test Engineer,3,8,985300.0,590000.0,1610000.0
93,IT Team Lead,5,13,1359500.0,730000.0,2030000.0
94,SAP SD Consultant,1,6,792200.0,350000.0,1800000.0
95,Senior Process Analyst,2,10,462300.0,250000.0,860000.0
96,Senior Application Analyst,3,8,1132300.0,600000.0,1700000.0
97,HR Assistant,0,4,270600.0,180000.0,500000.0
98,Associate Software Developer,0,3,471100.0,340000.0,650000.0
99,Business Process Analyst,1,10,632000.0,220000.0,1130000.0
100,Senior Engineer Application Development,3,9,1281400.0,670000.0,1900000.0
101,Application Software Engineer,0,4,461100.0,250000.0,830000.0
102,IT Operations Team Lead,7,14,1304100.0,720000.0,1900000.0
103,Customer Service Executive,0,7,412800.0,180000.0,650000.0
104,Drug Safety Associate,0,4,421700.0,240000.0,660000.0
105,Business Associate,0,5,309100.0,170000.0,590000.0
106,Network Engineer,0,8,649100.0,230000.0,1500000.0
107,Executive Accountant,0,6,335900.0,140000.0,600000.0
108,Software Analyst,1,5,735300.0,380000.0,1300000.0
109,Scrum Master,4,16,1687600.0,400000.0,3000000.0
110,Operations Manager,8,20,1616700.0,860000.0,2850000.0
111,Java Developer,1,5,646300.0,250000.0,1520000.0
112,Content Analyst,0,4,304500.0,160000.0,550000.0
113,Procurement Analyst,2,9,654300.0,330000.0,1220000.0
114,Client Financial Management Analyst,0,6,985000.0,420000.0,1600000.0
115,Senior Software Test Analyst,3,7,796000.0,500000.0,1310000.0
116,Bus Process Delivery Associate,0,6,418300.0,180000.0,900000.0
117,Cloud Support Analyst,2,7,764800.0,420000.0,1270000.0
118,Process Analyst,1,10,473700.0,150000.0,800000.0
119,Data Science Consultant,3,9,2358800.0,1520000.0,3200000.0
120,Senior Associate Operations,1,7,381600.0,250000.0,580000.0
121,Processing Executive,0,4,245200.0,130000.0,450000.0
122,Team Leader Finance,5,13,758000.0,470000.0,1200000.0
123,HR Business Partner,2,12,957400.0,300000.0,2800000.0
124,System Engineer,1,6,667800.0,280000.0,1300000.0
125,HR Associate,0,6,379700.0,180000.0,700000.0
126,Senior Team Leader,7,14,982900.0,520000.0,1750000.0
127,Operations Analyst,1,9,557400.0,210000.0,930000.0
128,Informatica ETL Developer,1,6,680500.0,380000.0,1350000.0
129,HR Service Delivery Analyst,3,10,654700.0,360000.0,970000.0
130,Procurement Specialist,2,13,581400.0,220000.0,1430000.0
131,Associate Consultant,1,6,638500.0,230000.0,1500000.0
132,Senior Analyst - IT Operations,4,11,987400.0,510000.0,1830000.0
133,Desktop Support Engineer,0,5,298900.0,200000.0,450000.0
134,Network Associate,0,6,326600.0,180000.0,550000.0
135,Automation Engineer,1,6,649400.0,250000.0,1300000.0
136,SAP Security & GRC Consultant,2,7,788000.0,390000.0,1860000.0
137,Management Consulting Manager,6,16,4314800.0,2400000.0,6400000.0
138,Python Developer,1,5,578800.0,240000.0,1460000.0
139,Technical Project Lead,7,15,1553400.0,1130000.0,2200000.0
140,Strategy Analyst,1,5,2641200.0,1500000.0,3600000.0
141,Senior Security Analyst,3,9,1312000.0,630000.0,1850000.0
142,Cloud Engineer,1,7,805200.0,400000.0,1700000.0
143,System Administrator,2,6,545200.0,200000.0,1000000.0
144,Financial Associate,0,6,363500.0,160000.0,610000.0
145,Business Operations Analyst,2,9,606700.0,200000.0,1020000.0
146,Project Lead,8,16,1631800.0,730000.0,3500000.0
147,Accounts Analyst,2,9,479900.0,190000.0,720000.0
148,Web Developer,0,6,456100.0,180000.0,1000000.0
149,Senior Business and Integration Architect Analyst,2,8,1253900.0,740000.0,1760000.0
150,Accounts Payable Analyst,0,8,429000.0,140000.0,690000.0
151,Sr. Cloud Operations Analyst,4,10,1064500.0,680000.0,1700000.0
152,Senior Consultant,3,11,1651700.0,600000.0,4000000.0
153,Platform Experience Associate,2,5,382100.0,210000.0,550000.0
154,Senior Test Engineering Analyst,3,7,788100.0,550000.0,1300000.0
155,Pega Developer,0,5,611300.0,360000.0,1200000.0
156,Senior Application Support Analyst,3,8,952500.0,560000.0,1330000.0
157,Associate Application Developer,0,2,459400.0,380000.0,550000.0
158,Business Operations new Associate,0,3,222100.0,150000.0,320000.0
159,Workday Consultant,2,9,859200.0,400000.0,1800000.0
160,Account Assistant,0,5,296200.0,120000.0,600000.0
161,Senior Salesforce Developer,3,7,1242600.0,600000.0,2290000.0
162,Network Support Engineer,0,6,336100.0,170000.0,700000.0
163,Senior Systems Engineer,3,8,1006600.0,470000.0,1800000.0
164,Associate Software Analyst,1,3,512700.0,300000.0,810000.0
165,Senior Engineer,1,8,848800.0,300000.0,2000000.0
166,Procurement Operations Analyst,3,9,642200.0,410000.0,930000.0
167,Advanced Software Engineer,0,1,650000.0,650000.0,650000.0
168,SAP Basis Administrator,1,6,704100.0,300000.0,1400000.0
169,Associate Vice President,11,20,3323400.0,1970000.0,5300000.0
170,ETL Developer,1,5,597400.0,250000.0,1100000.0
171,Business Advisory Analyst,3,10,668900.0,390000.0,1060000.0
172,SE,1,5,544500.0,320000.0,900000.0
173,Test Architect Specialist,6,12,1682700.0,1120000.0,2210000.0
174,Service Delivery Leader,10,22,2863400.0,900000.0,5730000.0
175,Technology Security Specialist,6,11,1937500.0,1200000.0,2550000.0
176,Automation Tester,1,5,574900.0,320000.0,910000.0
177,IT Operations Associate,0,6,428000.0,200000.0,700000.0
178,Senior Customer Service Executive,1,8,416500.0,250000.0,620000.0
179,QA Lead,5,12,1324700.0,650000.0,2400000.0
180,Network Operations Associate,0,6,400700.0,210000.0,620000.0
181,Senior Accountant,2,8,428700.0,260000.0,950000.0
182,SQL Database Administrator,2,7,742500.0,320000.0,1500000.0
183,Senior Software Development Engineer,3,7,1208900.0,650000.0,2100000.0
184,Business Integration and Architecture Specialist,3,10,1696000.0,1180000.0,2450000.0
185,RPA Developer,1,6,721000.0,350000.0,1750000.0
186,Security Delivery Associate,0,2,465600.0,400000.0,600000.0
187,Analytics Advisory Analyst,2,8,853500.0,450000.0,1270000.0
188,Quality Auditing Associate,0,6,400700.0,200000.0,800000.0
189,Operations Associate,0,6,344100.0,190000.0,550000.0
190,Engineer - Network Operations,0,7,395900.0,200000.0,1100000.0
191,Senior Procurement Analyst,4,10,709600.0,330000.0,1450000.0
192,Cloud Operations Administration Analyst,1,7,887400.0,350000.0,1350000.0
193,Manual Tester,0,5,313400.0,180000.0,590000.0
194,SAP Abap Developer,1,4,638200.0,350000.0,1020000.0
195,Senior Devops Engineer,3,9,1239200.0,620000.0,2500000.0
196,Technical Support Associate,1,6,450500.0,220000.0,650000.0
197,SAP SD Functional Consultant,2,7,771000.0,390000.0,1790000.0
