,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
44,Technical Consultant,2,10,900300.0,370000.0,2000000.0
45,Devops Engineer,1,6,661900.0,400000.0,1300000.0
46,Process Associate,0,4,230900.0,110000.0,520000.0
47,PMO Executive,0,8,370300.0,180000.0,600000.0
48,Technical Manager,10,18,1803400.0,1180000.0,3100000.0
49,Project Manager,9,19,1721400.0,630000.0,3050000.0
50,Test Lead,6,11,1393800.0,760000.0,2300000.0
51,Senior Technical Specialist,4,15,1436200.0,540000.0,2850000.0
52,Lead Consultant,7,14,2151600.0,1100000.0,3050000.0
53,Team Lead,5,12,993800.0,400000.0,2150000.0
54,System Engineer,1,4,334500.0,95000.0,1100000.0
55,Technical Architect,10,16,2158500.0,1200000.0,3410000.0
56,Senior Associate,1,8,460400.0,110000.0,1400000.0
57,Associate Executive,0,4,202900.0,110000.0,330000.0
58,Technical Support Engineer,1,10,436000.0,150000.0,1100000.0
59,Senior Technical Architect,11,19,2364100.0,1600000.0,3100000.0
60,CAD Engg,0,5,308500.0,200000.0,430000.0
61,Linux Administrator,1,5,463200.0,200000.0,1000000.0
62,Senior Customer Service Executive,1,5,260600.0,150000.0,400000.0
63,Senior Management Trainee,1,6,1114600.0,900000.0,1350000.0
64,Technical Lead Engineer,4,10,1020200.0,550000.0,1780000.0
65,Associate Project Manager,8,15,1188800.0,670000.0,1750000.0
66,Associate General Manager,12,20,2472500.0,1800000.0,3300000.0
67,Tech Lead,5,10,1189900.0,680000.0,2120000.0
68,Security Analyst,1,5,476500.0,250000.0,750000.0
69,Group Manager,10,18,2173100.0,1390000.0,3000000.0
70,Plsql Developer,2,5,494500.0,260000.0,1050000.0
71,Financial Analyst,0,5,296400.0,170000.0,580000.0
72,Senior Customer Service Representative,1,5,284700.0,170000.0,430000.0
73,Associate Software Engineer,1,3,343700.0,190000.0,650000.0
74,Customer Service Executive,0,3,201600.0,90000.0,330000.0
75,RPA Developer,1,4,481900.0,300000.0,720000.0
76,Cyber Security Analyst,0,3,356800.0,220000.0,600000.0
77,SQL Database Administrator,2,6,593500.0,300000.0,1130000.0
78,SAP Fico Consultant,2,8,573900.0,300000.0,1050000.0
79,Senior Technical Manager,11,19,1944200.0,1160000.0,2800000.0
80,Backup Administrator,2,7,512800.0,250000.0,1010000.0
81,Cloud Engineer,0,6,520500.0,220000.0,950000.0
82,Data Scientist,2,7,771900.0,250000.0,1800000.0
83,UI Developer,1,6,557500.0,250000.0,990000.0
84,Salesforce Developer,1,4,487600.0,200000.0,950000.0
85,Automation Test Lead,5,10,1152800.0,710000.0,1810000.0
86,Technical Analyst,1,5,366200.0,180000.0,900000.0
87,Hardware Design Engineer,1,5,464600.0,300000.0,730000.0
88,SME,1,9,432100.0,150000.0,850000.0
89,Senior Executive,1,9,502300.0,170000.0,900000.0
90,Senior Support Engineer,3,6,672000.0,310000.0,1100000.0
91,Sccm Administrator,2,5,514400.0,250000.0,890000.0
92,Team Lead Operations,3,9,485600.0,310000.0,800000.0
93,Associate Engineer,0,4,266300.0,130000.0,460000.0
94,Automation Engineer,1,5,423100.0,200000.0,850000.0
95,Python Developer,1,4,500300.0,220000.0,950000.0
96,Mainframe Developer,1,4,508500.0,270000.0,800000.0
97,Power BI Developer,2,4,554500.0,350000.0,800000.0
98,Specialist,2,11,644500.0,330000.0,1130000.0
99,Performance Test Engineer,3,4,531700.0,360000.0,850000.0
100,ETL Tester,2,4,515500.0,360000.0,800000.0
101,Software Tester,1,4,407000.0,210000.0,720000.0
102,Windows Vmware Administrator,2,6,452000.0,300000.0,900000.0
103,Senior Systems Engineer,2,8,615900.0,210000.0,990000.0
104,Software Analyst,0,2,277100.0,180000.0,430000.0
105,QA Engineer,2,4,405900.0,210000.0,700000.0
106,Network Security Engineer,2,7,457700.0,210000.0,830000.0
107,Network Specialist,2,6,571900.0,300000.0,970000.0
108,Incident Manager,2,7,466500.0,280000.0,700000.0
109,SAP SD Consultant,2,6,566000.0,340000.0,900000.0
110,Storage Administrator,1,5,506000.0,240000.0,980000.0
111,Scrum Master,5,14,1225100.0,510000.0,2000000.0
112,Senior Design Engineer,3,8,610700.0,300000.0,950000.0
113,SOC Analyst,1,4,444400.0,220000.0,650000.0
114,Lead Design Engineer,4,7,698500.0,430000.0,1100000.0
115,Senior Software Engineer Testing,2,6,542400.0,300000.0,980000.0
116,Production Support Engineer,1,5,448300.0,280000.0,810000.0
117,Service Delivery Manager,11,17,1747300.0,910000.0,2550000.0
118,Customer Service Representative,0,3,207300.0,160000.0,300000.0
119,Vmware Administrator,2,7,568700.0,210000.0,1120000.0
120,Information Technology Specialist,4,8,620200.0,350000.0,1080000.0
121,Track Lead,7,11,1027900.0,500000.0,2000000.0
122,Hardware Engineer,0,5,440600.0,150000.0,750000.0
123,Citrix Administrator,2,7,601600.0,290000.0,1010000.0
124,Lead Analyst,4,10,656600.0,410000.0,900000.0
125,Senior Team Leader,7,13,1198100.0,470000.0,2300000.0
126,Senior Software Development Engineer,3,8,701800.0,350000.0,1400000.0
127,Senior IT Analyst,2,5,383300.0,200000.0,600000.0
128,Deputy General Manager,15,23,2963600.0,2000000.0,4000000.0
129,Senior Medical Writer,3,8,684700.0,550000.0,870000.0
130,Technical Writer,2,7,646800.0,330000.0,1150000.0
131,Middleware Administrator,2,7,576800.0,240000.0,1010000.0
132,Informatica Developer,3,5,711200.0,500000.0,900000.0
133,Pega Developer,1,4,499100.0,300000.0,950000.0
134,Program Manager,13,20,2285500.0,1350000.0,3000000.0
135,SAP Consultant,3,8,672200.0,280000.0,1000000.0
136,Senior HR Executive,3,7,467200.0,300000.0,780000.0
137,Senior Devops Engineer,3,7,903700.0,500000.0,1220000.0
138,Senior Technical Consultant,4,12,1319900.0,700000.0,2150000.0
139,Oracle Financial Functional Consultant,4,7,615000.0,510000.0,750000.0
140,Associate Business Manager,6,14,1429600.0,950000.0,2000000.0
141,Management Trainee,0,2,487800.0,480000.0,550000.0
142,Senior Analyst - IT Operations,2,5,407200.0,300000.0,480000.0
143,Tableau Developer,2,4,485100.0,320000.0,700000.0
144,Graduate Trainee,0,2,269700.0,200000.0,450000.0
145,SQL Server Database Administrator,2,5,538200.0,290000.0,1090000.0
146,Support Engineer,2,5,460300.0,200000.0,1040000.0
147,Network Administrator,2,6,461800.0,250000.0,700000.0
148,Change Manager,3,10,643100.0,300000.0,1400000.0
149,Senior Network Analyst,2,5,492800.0,230000.0,750000.0
150,Senior Financial Analyst,1,6,387800.0,210000.0,600000.0
151,Windows Server Administrator,1,5,358300.0,210000.0,660000.0
152,Major Incident Manager,3,9,548000.0,270000.0,1050000.0
153,HR Recruiter,1,3,283400.0,200000.0,370000.0
154,R&D Engineer,2,6,422100.0,210000.0,850000.0
155,Application Support Engineer,1,4,395700.0,200000.0,900000.0
156,Mechanical Engineer,1,4,333700.0,210000.0,550000.0
157,Test Analyst,1,4,410800.0,170000.0,800000.0
158,Project Coordinator,2,7,474100.0,290000.0,750000.0
159,Test Manager,11,16,1640900.0,1200000.0,2120000.0
160,Finance Executive,1,6,271000.0,180000.0,450000.0
161,Manual Test Engineer,0,3,281300.0,120000.0,650000.0
162,Information Security Analyst,2,4,441600.0,300000.0,580000.0
163,Presales Consultant,2,12,1419000.0,900000.0,2310000.0
164,General Manager,13,23,3908400.0,2700000.0,5100000.0
165,Trainee Analyst,0,1,212100.0,150000.0,300000.0
166,Senior Administrator,3,10,833200.0,470000.0,1200000.0
167,Executive Accountant,1,6,327200.0,160000.0,610000.0
168,SAP Basis Administrator,1,7,575200.0,280000.0,950000.0
169,Group Technical Manager,11,19,2373500.0,1600000.0,3450000.0
170,Senior Network Specialist,4,11,845800.0,540000.0,1200000.0
171,Global Engagement Manager,1,6,1454500.0,1300000.0,1620000.0
172,Customer Support Executive,0,3,202600.0,140000.0,260000.0
173,Lead Software Engineer,3,7,808400.0,600000.0,1220000.0
174,Junior Developer,1,2,361900.0,280000.0,500000.0
175,Technology Specialist,4,14,1463100.0,650000.0,2500000.0
176,Windows System Administrator,0,6,338600.0,200000.0,620000.0
177,Product Manager,2,13,1516700.0,1000000.0,2500000.0
178,Operations Manager,10,14,1367800.0,600000.0,1900000.0
179,Critical Incident Manager,1,11,569700.0,300000.0,1000000.0
180,Wintel Administrator,2,8,516700.0,300000.0,900000.0
181,Senior Technology Lead,8,14,1849500.0,1200000.0,2500000.0
182,Network Engineer L1,0,4,301200.0,180000.0,500000.0
183,Hadoop Developer,2,4,462700.0,300000.0,700000.0
184,Database Admin,2,8,576600.0,400000.0,890000.0
185,Group Project Manager,14,21,2182000.0,1650000.0,2850000.0
186,Senior Network Engineer,4,7,681400.0,360000.0,1250000.0
187,Associate Technical Manager,11,15,1521100.0,1120000.0,2000000.0
188,Data Engineer,1,6,773900.0,480000.0,1400000.0
189,Shift Lead,2,7,426100.0,300000.0,640000.0
190,Senior Automation Engineer,3,8,937500.0,500000.0,1450000.0
191,Medical Writer,2,8,552300.0,400000.0,700000.0
192,Azure DevOps Engineer,3,5,574000.0,450000.0,750000.0
193,Lead Business Analyst,5,14,1512900.0,920000.0,2700000.0
194,Remote Desktop Support Engineer,1,8,385700.0,250000.0,590000.0
195,IT Service Desk Analyst,0,3,259900.0,190000.0,400000.0
196,SAP MM Consultant,2,5,530600.0,320000.0,850000.0
197,Senior Test Analyst,4,9,835700.0,450000.0,1260000.0
198,Project Management Officer,1,7,480400.0,300000.0,620000.0
