,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
144,Team Manager,4,15,2373100.0,1000000.0,3800000.0
145,Information Security Analyst,1,6,664300.0,200000.0,1150000.0
146,QA Analyst,1,8,543300.0,280000.0,1050000.0
147,Middleware Administrator,2,7,693600.0,230000.0,1250000.0
148,Project Manager Scrum Master,12,18,1771600.0,1030000.0,2630000.0
149,IT Technology Lead,6,12,1314900.0,840000.0,1900000.0
150,Technical Process Specialist,2,8,501100.0,310000.0,700000.0
151,Cloud Engineer,1,6,528800.0,300000.0,1000000.0
152,Talent Acquisition Specialist,0,6,468900.0,300000.0,750000.0
153,Associate SAP MM Consultant,2,6,758900.0,450000.0,1130000.0
154,SAP Security & GRC Consultant,2,6,677600.0,320000.0,1350000.0
155,Plsql Developer,2,6,683200.0,300000.0,1300000.0
156,Cyber Security Analyst,1,6,541200.0,300000.0,1020000.0
157,ETL Developer,1,5,588400.0,260000.0,1200000.0
158,Engineering Software,3,4,1104900.0,280000.0,2600000.0
159,Operations Manager,10,17,1095500.0,700000.0,2000000.0
160,Senior Information Security Engineer,2,4,525400.0,420000.0,770000.0
161,Technology Specialist,3,12,662900.0,340000.0,1430000.0
162,HR Executive,0,5,284800.0,160000.0,600000.0
163,Automation Test Lead,6,14,1123000.0,710000.0,1800000.0
164,Database Admin,1,7,617600.0,260000.0,1250000.0
165,Technical Support Executive,0,6,278100.0,150000.0,420000.0
166,Big Data Engineer,1,6,598400.0,360000.0,1100000.0
167,QA Test Engineer,1,5,439900.0,260000.0,710000.0
168,Financial Analyst,0,7,380500.0,140000.0,1100000.0
169,Linux Administrator,1,7,584400.0,200000.0,1000000.0
170,Mulesoft Developer,1,6,726200.0,280000.0,1750000.0
171,Automation Test Analyst,2,9,736200.0,430000.0,1200000.0
172,Senior Technology Analyst,4,10,790400.0,520000.0,1280000.0
173,Senior Lead Analyst,8,15,1760700.0,1100000.0,2500000.0
174,Technical Manager,11,17,1812600.0,1150000.0,2700000.0
175,Technical Project Manager,11,17,1904500.0,1200000.0,2700000.0
176,Oracle Database Administrator,1,8,727400.0,280000.0,1760000.0
177,Servicenow Developer,1,5,518300.0,210000.0,1130000.0
178,Python Developer,1,5,531300.0,320000.0,1200000.0
179,Delivery Manager,18,26,3943700.0,2550000.0,5500000.0
180,Manual Test Engineer,2,5,478500.0,230000.0,900000.0
181,Performance Test Engineer,1,6,760800.0,250000.0,1450000.0
182,Senior Accountant,2,8,373600.0,210000.0,580000.0
183,UI Developer,1,6,683100.0,280000.0,1500000.0
184,QA Engineer,1,5,543500.0,300000.0,1000000.0
185,Software Tester,0,5,439400.0,220000.0,880000.0
186,Senior Finance Associate,2,4,1148400.0,950000.0,1400000.0
187,Power Programmer,0,3,901600.0,600000.0,1100000.0
188,Hadoop Developer,2,5,576400.0,290000.0,850000.0
189,Assistant System Engineer,0,4,382400.0,340000.0,550000.0
190,ETL Tester,2,5,605000.0,280000.0,1100000.0
191,Senior Associate Lead Business Partner HR,1,7,909600.0,630000.0,1140000.0
192,Client Solution Lead,4,12,1293100.0,900000.0,1700000.0
193,Senior Technical Architect,14,21,2678700.0,1720000.0,3700000.0
194,Senior System Engineer 3,1,4,481300.0,360000.0,680000.0
195,Performance Tester,1,5,533200.0,280000.0,1100000.0
196,Project Coordinator,2,8,639000.0,300000.0,1200000.0
197,TA,3,8,681800.0,440000.0,950000.0
198,SAP MM Functional Consultant,1,9,764500.0,280000.0,1600000.0
199,Senior Test Engineer,2,8,813700.0,320000.0,1500000.0
